date,headline,source,sentiment,score
2026-05-20,Eurobank enables Greece-India UPI remittances,The Times of India,Neutral,0.0
2026-05-18,"Rupee hits new low of 96.4, falls for 7th straight day",The Indian Express,Positive,0.11212121212121212
2026-06-08,"Indian stocks and rupee fall on global selloff, further escalation in West Asia",The Indian Express,Neutral,0.0
2026-06-10,War impact: Investors turned cautious in May as equity mutual fund inflows hit 1-year low,The Indian Express,Neutral,0.0
2026-06-07,NSE investor accounts cross 26 crore milestone as mobile trading and tier-2/3 cities drive participation,The Times of India,Neutral,0.0
2026-06-08,Indian stock markets dive amid Middle East escalation,DW (English),Neutral,0.0
2026-05-16,"Quant Mid Cap Fund exits Lenskart Solutions and 2 other stocks, adds SAIL in April",Economictimes.com,Neutral,-0.0625
2026-05-25,"Bitcoin trades above $77,000 as oil's 5% slide pushes Asian equities higher",CoinDesk,Neutral,0.08333333333333333
2026-05-20,Sensex today | Stock Market Highlights: Stock markets rebound; Sensex climbs 117 points on fag-end buying,BusinessLine,Neutral,0.0
2026-05-26,India's fifth spot in global market cap list under threat as Taiwan closes in,Japan Today,Neutral,0.0
2026-06-12,"Sensex today | Stock Market Highlights: Sensex, Nifty surge nearly 2% as falling oil prices lift market sentiment",BusinessLine,Neutral,0.1
2026-06-10,"Top Business & Market Headlines Today — BL Morning Report, June 11, 2026",BusinessLine,Positive,0.5
2026-05-20,"Top Business & Market Headlines Today — BL Morning Report, May 21, 2026",BusinessLine,Positive,0.5
2026-05-28,"Top Business & Market Headlines Today — BL Morning Report, May 29, 2026",BusinessLine,Positive,0.5
2026-05-21,"Top Business & Market Headlines Today — BL Morning Report, May 22, 2026",BusinessLine,Positive,0.5
2026-06-08,"Top Business & Market Headlines Today — BL Morning Report, June 8, 2026",BusinessLine,Positive,0.5
2026-05-18,"Top Business & Market Headlines Today — BL Morning Report, May 19, 2026",BusinessLine,Positive,0.5
2026-05-27,"Top Business & Market Headlines Today — BL Morning Report, May 28, 2026",BusinessLine,Positive,0.5
2026-05-26,"Top Business & Market Headlines Today — BL Morning Report, May 27, 2026",BusinessLine,Positive,0.5
2026-06-09,"Top Business & Market Headlines Today — BL Morning Report, June 9, 2026",BusinessLine,Positive,0.5
2026-05-25,"Top Business & Market Headlines Today — BL Morning Report, May 26, 2026",BusinessLine,Positive,0.5
2026-05-19,"Top Business & Market Headlines Today — BL Morning Report, May 20, 2026",BusinessLine,Positive,0.5
2026-06-11,"Top Business & Market Headlines Today — BL Morning Report, June 12, 2026",BusinessLine,Positive,0.5
2026-05-22,Sensex today | Stock Market Live: Stock to buy today: Dr. Agarwal’s Health Care,BusinessLine,Positive,0.13636363636363635
2026-06-04,"Sensex today | Stock Market Highlights: Sensex, Nifty end flat after weak open; Sensex up 14 pts, Nifty gains 11 pts",BusinessLine,Negative,-0.13333333333333333
2026-05-19,Sensex today | Stock Market Live: Stock to buy today: Narayana Hrudayalaya,BusinessLine,Positive,0.13636363636363635
2026-05-26,"Sensex today | Stock Market Highlights: Sensex falls 479 points, Nifty slips below 23,950 as rupee weakens",BusinessLine,Neutral,0.0
2026-05-25,"Sensex today | Stock Market Highlights: Sensex jumps over 1,000 points as easing crude prices lift Nifty above 24,000",BusinessLine,Negative,-0.35
2026-05-19,"Sensex today | Stock Market Highlights: Nifty, Sensex close marginally lower amid inflation worries, IT stocks shine",BusinessLine,Neutral,0.0
